1 1 1 , 200 100 200 , 30 30 30 , 
-29.3572 -28.6782 -35.558 , 220.17 109.785 220.616 , 169.477 153.73 39.0186 , 
-29.5387 -28.8543 -35.7634 , 220.284 109.837 220.739 , 170.349 154.572 39.0421 , 
-29.7202 -29.0305 -35.9688 , 220.398 109.889 220.862 , 171.222 155.415 39.0643 , 
-29.9019 -29.2067 -36.1742 , 220.512 109.941 220.986 , 172.095 156.258 39.085 , 
-30.0835 -29.383 -36.3796 , 220.627 109.993 221.109 , 172.969 157.102 39.1042 , 
-30.2653 -29.5593 -36.5851 , 220.741 110.044 221.233 , 173.842 157.948 39.122 , 
-30.4471 -29.7356 -36.7906 , 220.856 110.096 221.357 , 174.716 158.794 39.1383 , 
-30.629 -29.9121 -36.9961 , 220.97 110.148 221.481 , 175.589 159.641 39.1532 , 
-30.8109 -30.0886 -37.2016 , 221.085 110.2 221.605 , 176.463 160.49 39.1667 , 
-30.9929 -30.2651 -37.4072 , 221.199 110.251 221.729 , 177.337 161.339 39.1786 , 
-31.1749 -30.4417 -37.6128 , 221.314 110.303 221.854 , 178.211 162.189 39.1892 , 
-31.357 -30.6183 -37.8184 , 221.428 110.354 221.979 , 179.085 163.04 39.1983 , 
-31.5392 -30.795 -38.024 , 221.543 110.406 222.103 , 179.96 163.893 39.2059 , 
-31.7214 -30.9717 -38.2297 , 221.658 110.457 222.228 , 180.834 164.746 39.2121 , 
-31.9036 -31.1485 -38.4354 , 221.773 110.509 222.354 , 181.709 165.6 39.2169 , 
-32.086 -31.3254 -38.6411 , 221.888 110.56 222.479 , 182.584 166.455 39.2202 , 
-32.2683 -31.5023 -38.8468 , 222.002 110.611 222.605 , 183.459 167.311 39.222 , 
-32.4508 -31.6792 -39.0525 , 222.117 110.662 222.73 , 184.334 168.168 39.2224 , 
-32.6333 -31.8562 -39.2583 , 222.232 110.714 222.856 , 185.21 169.026 39.2214 , 
-32.8158 -32.0332 -39.4641 , 222.347 110.765 222.982 , 186.085 169.885 39.2189 , 
-32.9984 -32.2103 -39.6699 , 222.462 110.816 223.108 , 186.961 170.745 39.215 , 
-33.181 -32.3874 -39.8757 , 222.577 110.867 223.235 , 187.837 171.606 39.2096 , 
-33.3637 -32.5646 -40.0815 , 222.692 110.918 223.361 , 188.713 172.468 39.2028 , 
-33.5465 -32.7419 -40.2874 , 222.808 110.969 223.488 , 189.589 173.331 39.1946 , 
-33.7293 -32.9191 -40.4933 , 222.923 111.02 223.615 , 190.466 174.195 39.185 , 
-33.9122 -33.0964 -40.6992 , 223.038 111.07 223.742 , 191.343 175.059 39.1739 , 
-34.0951 -33.2738 -40.9051 , 223.153 111.121 223.869 , 192.22 175.925 39.1614 , 
